Organization,Repository Name,Last Updated,License,has_readme,has_citation,has_contributing,has_tags,latest_tag,latest_tag_date,repo_url,owner,owner_url,organization_url,citation_title,citation_dois,citation_swhids,orcids,readme_dois,citation_has_doi,readme_has_doi,has_license
jhu-sheridan-libraries,aws-sfx,2019-01-04T21:15:30Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/aws-sfx,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,jhu-bento,2023-01-28T16:26:09Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/jhu-bento,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,pass-docker,2019-07-01T14:31:24Z,No license,True,False,False,True,demo,2017-12-12T21:07:03Z,https://github.com/jhu-sheridan-libraries/pass-docker,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,msel-pass-fcrepo,2019-07-01T14:31:16Z,No license,False,False,False,False,,,https://github.com/jhu-sheridan-libraries/msel-pass-fcrepo,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,ui-oriole-staff,2020-04-17T14:36:23Z,Apache License 2.0,True,False,True,False,,,https://github.com/jhu-sheridan-libraries/ui-oriole-staff,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,mod-oriole,2024-11-06T16:23:14Z,No license,True,False,False,True,v1.0.24,2024-11-06T16:26:50Z,https://github.com/jhu-sheridan-libraries/mod-oriole,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,msel-jeff-aws-sandbox,2019-01-04T21:20:25Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/msel-jeff-aws-sandbox,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,docker-awslogs,2018-08-03T16:46:48Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/docker-awslogs,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,nutch-compose,2020-12-01T14:29:03Z,No license,True,False,False,True,v1.0.0,2018-10-05T14:50:51Z,https://github.com/jhu-sheridan-libraries/nutch-compose,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,pass-elasticsearch-snapshot-scripts,2019-07-01T14:30:33Z,No license,False,False,False,False,,,https://github.com/jhu-sheridan-libraries/pass-elasticsearch-snapshot-scripts,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,ui-oriole-patron,2025-07-15T14:17:46Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/ui-oriole-patron,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,folio-ansible,2018-11-29T14:44:52Z,Apache License 2.0,True,False,True,True,v4.1.0,2017-09-06T20:32:00Z,https://github.com/jhu-sheridan-libraries/folio-ansible,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,oriole-data-migration,2021-12-30T15:25:31Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/oriole-data-migration,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,elk-stack-prototype,2019-08-20T13:14:04Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/elk-stack-prototype,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,oriole-ansible,2019-09-16T13:12:34Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/oriole-ansible,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,crowd_groups,2019-04-16T15:22:54Z,No license,False,False,False,False,,,https://github.com/jhu-sheridan-libraries/crowd_groups,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,gcsv5_aws_infrastructure,2019-05-01T16:28:08Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/gcsv5_aws_infrastructure,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,ldap-lookup,2019-05-28T01:23:04Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/ldap-lookup,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,msel-terraform-docker,2019-06-17T03:15:18Z,No license,False,False,False,False,,,https://github.com/jhu-sheridan-libraries/msel-terraform-docker,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,islandora-pilot,2019-11-01T16:54:04Z,MIT License,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/islandora-pilot,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,terraform-azure-horizon,2019-06-26T12:47:59Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/terraform-azure-horizon,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,centos7-packer,2019-07-08T17:19:23Z,No license,False,False,False,False,,,https://github.com/jhu-sheridan-libraries/centos7-packer,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,gcv5_terraform,2019-07-08T18:21:22Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/gcv5_terraform,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,msel-terraform-aws-vpc,2019-07-11T12:16:07Z,No license,True,False,False,False,,,https://github.com/jhu-sheridan-libraries/msel-terraform-aws-vpc,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
jhu-sheridan-libraries,python_slack_api,2019-07-15T03:54:35Z,No license,True,False,False,True,0.0.2,2019-07-14T16:02:55Z,https://github.com/jhu-sheridan-libraries/python_slack_api,jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,https://github.com/jhu-sheridan-libraries,,,,,,No,No,True
