Organization,Repository Name,Last Updated,License,has_readme,has_citation,has_contributing,has_tags,latest_tag,latest_tag_date,repo_url,owner,owner_url,organization_url,citation_title,citation_dois,citation_swhids,orcids,readme_dois,citation_has_doi,readme_has_doi,has_license
neurodata,ndreg-old,2023-01-28T16:38:48Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/ndreg-old,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,ndintro,2016-02-04T18:11:49Z,Apache License 2.0,False,False,False,False,,,https://github.com/neurodata/ndintro,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,LIMS-Scripts,2023-01-28T16:38:48Z,No license,True,False,False,False,,,https://github.com/neurodata/LIMS-Scripts,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,SIMPLEX,2020-05-01T06:28:42Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/SIMPLEX,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,ndprojects,2016-02-11T15:01:07Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/ndprojects,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,Matrix-Explorer,2023-01-28T16:38:48Z,No license,True,False,False,False,,,https://github.com/neurodata/Matrix-Explorer,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,brainx,2023-06-06T12:27:53Z,MIT License,True,False,True,False,,,https://github.com/neurodata/brainx,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,ndinstall,2016-02-23T19:17:31Z,No license,True,False,False,False,,,https://github.com/neurodata/ndinstall,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,NICE-RFI-Response,2018-03-07T17:54:49Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/NICE-RFI-Response,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,f2g,2023-01-28T16:38:49Z,No license,True,False,False,False,,,https://github.com/neurodata/f2g,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,m2g,2025-11-24T13:13:41Z,Other,True,False,True,True,v0.3.0,2022-02-27T22:21:38Z,https://github.com/neurodata/m2g,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,"10.5281/zenodo.595684.svg),10.5281/zenodo.595684),10.1101/2021.11.01.466686),10.1101/2021.11.01.466686v1.full).",No,Yes,True
neurodata,IsoSurfaceExtraction,2016-02-19T02:58:33Z,No license,True,False,False,False,,,https://github.com/neurodata/IsoSurfaceExtraction,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,ndmanager,2016-10-09T20:47:14Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/ndmanager,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,"10.5281/zenodo.19972.svg),10.5281/zenodo.19972)--",No,Yes,True
neurodata,ndparse,2019-07-15T18:23:08Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/ndparse,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,xbrain,2018-08-07T05:18:42Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/xbrain,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,spdb,2017-03-03T03:02:06Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/spdb,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,neurodata.io-v2,2023-01-28T16:38:49Z,No license,True,False,False,False,,,https://github.com/neurodata/neurodata.io-v2,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,synaptome-stats,2019-05-23T18:39:43Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/synaptome-stats,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,ndai,2023-01-28T16:38:49Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/ndai,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,hildebrand16,2017-01-13T18:29:40Z,No license,True,False,False,False,,,https://github.com/neurodata/hildebrand16,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,dataset_variance,2023-01-28T16:38:49Z,No license,True,False,False,False,,,https://github.com/neurodata/dataset_variance,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
