Repository Name,repo_url,has_readme,has_license,has_citation,has_contributing,has_tags
catalyst-error-pages,https://github.com/jhu-library-applications/catalyst-error-pages,True,False,False,False,False
cloud-app-tutorials,https://github.com/jhu-library-applications/cloud-app-tutorials,True,False,False,False,False
rmst-pick-list-cloudapp,https://github.com/jhu-library-applications/rmst-pick-list-cloudapp,True,False,False,False,True
lsc-scanner-cloudapp,https://github.com/jhu-library-applications/lsc-scanner-cloudapp,True,False,False,False,True
horizon-bib-to-mms,https://github.com/jhu-library-applications/horizon-bib-to-mms,True,False,False,False,False
primo-test-suite,https://github.com/jhu-library-applications/primo-test-suite,True,False,False,False,False
alma-api,https://github.com/jhu-library-applications/alma-api,True,False,False,False,False
tray-reassignment-cloudapp,https://github.com/jhu-library-applications/tray-reassignment-cloudapp,False,False,False,False,False
reshelving-check-cloudapp,https://github.com/jhu-library-applications/reshelving-check-cloudapp,False,False,False,False,True
JHUInsight,https://github.com/jhu-library-applications/JHUInsight,True,False,False,False,False
wordpressexportget,https://github.com/jhu-library-applications/wordpressexportget,True,False,False,False,False
hathiprint_process_records,https://github.com/jhu-library-applications/hathiprint_process_records,True,False,False,False,False
showcase-bundle,https://github.com/jhu-library-applications/showcase-bundle,False,False,False,False,False
service-outage.github.io,https://github.com/jhu-library-applications/service-outage.github.io,True,False,False,False,False
Media_Processing,https://github.com/jhu-library-applications/Media_Processing,True,False,False,False,False
databases-backup,https://github.com/jhu-library-applications/databases-backup,False,False,False,False,False
customModule,https://github.com/jhu-library-applications/customModule,True,False,False,False,False
